Cycle, Output
0, 3.980
1, -4.000
2, 11.940
3, -19.959
4, 43.820
5, -83.757
6, 171.378
7, -338.910
8, 681.646
9, -1359.479
10, 2722.740
11, -5441.694
12, 10887.111
13, -21770.426
14, 43544.449
15, -87084.953
16, 174173.109
17, -348341.562
18, 696684.875
19, -1393362.250
20, 2786720.500
21, -5573422.000
22, 11146817.000
23, -22293568.000
24, 44587016.000
25, -89173776.000
26, 178347056.000
27, -356693120.000
28, 713384256.000
29, -1426764544.000
30, 2853521152.000
31, -5707026432.000
32, 11414022144.000
33, -22827978752.000
34, 45655830528.000
35, -91311407104.000
36, 182622306304.000
37, -365243596800.000
38, 730485096448.000
39, -1460966260736.000
40, 2921924395008.000
41, -5843832537088.000
42, 11687632568320.000
43, -23375200124928.000
44, 46750270226432.000
45, -93500280406016.000
46, 187000023941120.000
47, -373999007694848.000
48, 747995935014912.000
49, -1495987843497984.000
50, 2991967365496832.000
51, -5983918087995392.000
52, 11967803963736064.000
53, -23935539207995392.000
54, 47870945272004608.000
55, -95741624256036864.000
56, 191482715936129024.000
57, -382964366720368640.000
58, 765926534417481728.000
59, -1531848808227405824.000
60, 3063689095239696384.000
61, -6127361697804976128.000
62, 12254688211237863424.000
63, -24509308252754804736.000
64, 49018480166067765248.000
65, -98036687653251842048.000
66, 196072829948736307200.000
67, -392144533997565771776.000
68, 784286956932806213632.000
69, -1568569551003473412096.000
70, 3137130376282668793856.000
71, -6274243301116781527040.000
72, 12548451699336450932736.000
73, -25096833592878677622784.000
74, 50193527574168906760192.000
75, -100386766917961661808640.000
76, 200772975389569529675776.000
77, -401544833886431471468544.000
78, 803087506045041805099008.000
79, -1606170544519253258665984.000
80, 3212332153896845814267904.000
81, -6424647013971122525831168.000
82, 12849257134454097632559104.000
83, -25698442787774909640605696.000
84, 51396742613283248032186368.000
85, -102793199302033353566322688.000
86, 205585826755000422136545280.000
87, -411170472918380126861787136.000
88, 822338658440495113739173888.000
89, -1644672742088459947509547008.000
90, 3289336629739764514434318336.000
91, -6578654960309407908993433600.000
92, 13157273322278573578236461056.000
93, -26314473447876662676972109824.000
94, 52628800502392356394942595072.000
95, -105257298773329809132591513600.000
96, 210514011973215742429176528896.000
97, -421026852799543733186340061184.000
98, 842051438863175688942977548288.000
99, -1684098193138800371197903110144.000
